Afghanistan,25371,1052,7478,296,7168,3125,3144,4372,717,2764,25968,8312,6286,13837,30644,12218,2449,588,810,687,3931,1077,609,4502,1873,2517,11108,14025
Grenada,155.0,15.0,37.0,32.0,18.0,1.0,8.0,4.0,14.0,4.0,1.0,36.0,32.0,166.0,66.0,113.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,65.0,13.0,3.0,41.0,7.0
Guam,219.0,39.0,49.0,21.0,22.0,4.0,24.0,3.0,10.0,0.0,0.0,27.0,106.0,160.0,39.0,136.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,39.0,8.0,1.0,107.0,12.0
Guatemala,8586.0,1553.0,1318.0,4171.0,1578.0,1574.0,885.0,1460.0,1434.0,394.0,5318.0,1180.0,2223.0,11399.0,8794.0,8329.0,971.0,987.0,417.0,14.0,959.0,203.0,95.0,3443.0,426.0,703.0,2870.0,1728.0
Guinea,9317.0,734.0,696.0,1235.0,1258.0,3264.0,1108.0,3404.0,3729.0,70.0,13395.0,1522.0,1996.0,4363.0,15907.0,2903.0,2734.0,178.0,416.0,229.0,3417.0,685.0,365.0,2474.0,202.0,3528.0,2211.0,9486.0
Guinea-Bissau,1636.0,121.0,117.0,454.0,338.0,440.0,109.0,257.0,1310.0,8.0,1915.0,461.0,266.0,723.0,2287.0,562.0,359.0,61.0,57.0,53.0,283.0,47.0,29.0,367.0,56.0,405.0,374.0,1434.0
Guyana,1304.0,125.0,142.0,313.0,315.0,36.0,65.0,51.0,179.0,13.0,69.0,242.0,251.0,1128.0,554.0,837.0,18.0,42.0,33.0,0.0,7.0,6.0,5.0,485.0,87.0,28.0,362.0,158.0
Haiti,16219.0,1265.0,2479.0,3443.0,2449.0,3347.0,691.0,2890.0,4306.0,574.0,16146.0,3979.0,2271.0,9746.0,17683.0,4691.0,2709.0,624.0,327.0,124.0,1258.0,1004.0,268.0,1508.0,956.0,2232.0,4980.0,5812.0
Honduras,10233.0,1703.0,966.0,1852.0,1415.0,581.0,913.0,401.0,757.0,931.0,5974.0,1275.0,3344.0,4782.0,7957.0,4581.0,460.0,403.0,297.0,4.0,101.0,85.0,40.0,1925.0,318.0,140.0,3393.0,1051.0
Hungary,37776.0,9933.0,5825.0,7168.0,3907.0,74.0,2228.0,52.0,515.0,3580.0,410.0,1820.0,15320.0,14471.0,8951.0,15125.0,23.0,296.0,926.0,0.0,6.0,14.0,1.0,8149.0,1943.0,22.0,14010.0,112.0
Iceland,344.0,33.0,71.0,59.0,38.0,0.0,19.0,3.0,6.0,25.0,0.0,32.0,244.0,170.0,23.0,164.0,0.0,30.0,29.0,0.0,0.0,0.0,0.0,19.0,25.0,1.0,157.0,2.0
India,1439478.0,169544.0,222854.0,261096.0,487166.0,338521.0,220564.0,60991.0,90387.0,183302.0,1047673.0,165310.0,836057.0,855985.0,2087016.0,343479.0,242866.0,64186.0,123734.0,1553.0,42235.0,15072.0,5166.0,947584.0,101014.0,125512.0,555842.0,362478.0
Indonesia,530700.0,100475.0,29356.0,23578.0,69372.0,33703.0,52710.0,24668.0,13301.0,3749.0,88747.0,46796.0,223481.0,166316.0,221663.0,87652.0,13655.0,8987.0,10558.0,228.0,4935.0,2451.0,1214.0,129281.0,42971.0,5736.0,113820.0,32449.0
Iran,94234.0,3525.0,25735.0,1694.0,5328.0,238.0,6821.0,205.0,663.0,3124.0,73.0,5372.0,28860.0,48431.0,50916.0,49884.0,221.0,4714.0,2799.0,0.0,40.0,25.0,28.0,49495.0,6688.0,303.0,42228.0,1978.0
Iraq,57255.0,1615.0,12340.0,399.0,6306.0,277.0,7324.0,520.0,323.0,7658.0,150.0,2055.0,21408.0,34188.0,29214.0,27381.0,136.0,902.0,866.0,4.0,372.0,212.0,48.0,28831.0,4611.0,101.0,22394.0,6462.0
